ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
PA000086068,2022-01-01,TMIN,26.6,,,S,
PA000086068,2022-01-01,TAVG,33.9,H,,S,
PA000086134,2022-01-01,TMIN,25.6,,,S,
PA000086134,2022-01-01,TAVG,33.800000000000004,H,,S,
PA000086297,2022-01-01,TMIN,24.200000000000003,,,S,
PA000086297,2022-01-01,TAVG,33.0,H,,S,
PAM00086097,2022-01-01,TMIN,15.8,,,S,
PAM00086097,2022-01-01,TAVG,28.400000000000002,H,,S,
PAM00086128,2022-01-01,TMIN,21.8,,,S,
PAM00086128,2022-01-01,TAVG,30.6,H,,S,
PAM00086170,2022-01-01,TMIN,22.3,,,S,
PAM00086170,2022-01-01,TAVG,36.4,H,,S,
PAM00086185,2022-01-01,TMIN,25.0,,,S,
PAM00086185,2022-01-01,TAVG,32.9,H,,S,
PAM00086192,2022-01-01,TMIN,23.6,,,S,
PAM00086192,2022-01-01,TAVG,31.200000000000003,H,,S,
PAM00086210,2022-01-01,TMAX,33.6,,,S,
PAM00086210,2022-01-01,TMIN,23.0,,,S,
PAM00086210,2022-01-01,PRCP,4.800000000000001,,,S,
PAM00086210,2022-01-01,TAVG,28.1,H,,S,
PAM00086218,2022-01-01,TMIN,23.8,,,S,
PAM00086218,2022-01-01,TAVG,31.8,H,,S,
PAM00086221,2022-01-01,TMIN,23.400000000000002,,,S,
PAM00086221,2022-01-01,TAVG,31.5,H,,S,
PAM00086233,2022-01-01,TMIN,23.0,,,S,
PAM00086233,2022-01-01,TAVG,30.400000000000002,H,,S,
PAM00086234,2022-01-01,TMIN,22.200000000000003,,,S,
PAM00086234,2022-01-01,TAVG,30.6,H,,S,
PAM00086255,2022-01-01,TMIN,24.0,,,S,
PAM00086255,2022-01-01,TAVG,35.2,H,,S,
PAM00086268,2022-01-01,TMIN,24.200000000000003,,,S,
PAM00086268,2022-01-01,TAVG,31.200000000000003,H,,S,
PAM00086285,2022-01-01,TMIN,20.700000000000003,,,S,
PAM00086285,2022-01-01,TAVG,28.6,H,,S,
PA000086068,2022-01-02,TMAX,43.400000000000006,,,S,
PA000086068,2022-01-02,TMIN,27.8,,,S,
PA000086068,2022-01-02,TAVG,33.9,H,,S,
PA000086134,2022-01-02,TMAX,41.0,,,S,
PA000086134,2022-01-02,TMIN,28.400000000000002,,,S,
PA000086134,2022-01-02,TAVG,35.2,H,,S,
PA000086297,2022-01-02,TMAX,38.6,,,S,
PA000086297,2022-01-02,TMIN,22.400000000000002,,,S,
PA000086297,2022-01-02,TAVG,30.700000000000003,H,,S,
PAM00086097,2022-01-02,TMAX,33.6,,,S,
PAM00086097,2022-01-02,TMIN,22.6,,,S,
PAM00086097,2022-01-02,TAVG,27.3,H,,S,
PAM00086170,2022-01-02,TMAX,42.0,,,S,
PAM00086170,2022-01-02,TMIN,27.5,,,S,
PAM00086170,2022-01-02,TAVG,32.800000000000004,H,,S,
PAM00086185,2022-01-02,TMIN,28.0,,,S,
PAM00086185,2022-01-02,TAVG,33.800000000000004,H,,S,
PAM00086192,2022-01-02,TMAX,40.0,,,S,
PAM00086192,2022-01-02,TMIN,26.200000000000003,,,S,
PAM00086192,2022-01-02,TAVG,32.7,H,,S,
PAM00086218,2022-01-02,TMAX,39.2,,,S,
PAM00086218,2022-01-02,TAVG,31.3,H,,S,
PAM00086221,2022-01-02,TMAX,39.400000000000006,,,S,
PAM00086221,2022-01-02,TMIN,24.400000000000002,,,S,
PAM00086221,2022-01-02,TAVG,30.5,H,,S,
PAM00086234,2022-01-02,TMAX,39.0,,,S,
PAM00086234,2022-01-02,TMIN,24.0,,,S,
PAM00086234,2022-01-02,TAVG,29.400000000000002,H,,S,
PAM00086260,2022-01-02,TMAX,39.2,,,S,
PAM00086260,2022-01-02,TMIN,22.0,,,S,
PAM00086260,2022-01-02,TAVG,28.400000000000002,H,,S,
PAM00086268,2022-01-02,TMAX,40.0,,,S,
PAM00086268,2022-01-02,TMIN,23.400000000000002,,,S,
PAM00086268,2022-01-02,TAVG,29.6,H,,S,
PAM00086285,2022-01-02,TMAX,38.0,,,S,
PAM00086285,2022-01-02,TMIN,25.0,,,S,
PAM00086285,2022-01-02,TAVG,30.400000000000002,H,,S,
PA000086068,2022-01-03,TMAX,40.5,,,S,
