ID Provincia,Nombre Provincia,ID Distrito,Nombre Distrito,Año de Referencia,Fuente,Valor,Unidad de Medida
01,"BOCAS DEL TORO",01,"BOCAS DEL TORO",2023,"Censos de Población y Vivienda Década 2020",3477,"personas"
13,"PANAMÁ OESTE",09,"SAN CARLOS",2023,"Censos de Población y Vivienda Década 2020",5019,"personas"
13,"PANAMÁ OESTE",07,"LA CHORRERA",2023,"Censos de Población y Vivienda Década 2020",102812,"personas"
13,"PANAMÁ OESTE",04,"CHAME",2023,"Censos de Población y Vivienda Década 2020",8103,"personas"
13,"PANAMÁ OESTE",03,"CAPIRA",2023,"Censos de Población y Vivienda Década 2020",8998,"personas"
13,"PANAMÁ OESTE",01,"ARRAIJÁN",2023,"Censos de Población y Vivienda Década 2020",131816,"personas"
12,"COMARCA NGÄBE BUGLÉ",09,"SANTA CATALINA O CALOVÉBORA (BLEDESHIA)",2023,"Censos de Población y Vivienda Década 2020",91,"personas"
12,"COMARCA NGÄBE BUGLÉ",08,"JIRONDAI",2023,"Censos de Población y Vivienda Década 2020",427,"personas"
12,"COMARCA NGÄBE BUGLÉ",07,"KUSAPÍN",2023,"Censos de Población y Vivienda Década 2020",381,"personas"
12,"COMARCA NGÄBE BUGLÉ",06,"KANKINTÚ",2023,"Censos de Población y Vivienda Década 2020",374,"personas"
12,"COMARCA NGÄBE BUGLÉ",05,"ÑÜRÜM",2023,"Censos de Población y Vivienda Década 2020",1055,"personas"
12,"COMARCA NGÄBE BUGLÉ",04,"NOLE DUIMA",2023,"Censos de Población y Vivienda Década 2020",887,"personas"
12,"COMARCA NGÄBE BUGLÉ",03,"MÜNA",2023,"Censos de Población y Vivienda Década 2020",2124,"personas"
12,"COMARCA NGÄBE BUGLÉ",02,"MIRONÓ",2023,"Censos de Población y Vivienda Década 2020",704,"personas"
12,"COMARCA NGÄBE BUGLÉ",01,"BESIKO",2023,"Censos de Población y Vivienda Década 2020",669,"personas"
11,"COMARCA EMBERÁ",02,"SAMBÚ",2023,"Censos de Población y Vivienda Década 2020",67,"personas"
11,"COMARCA EMBERÁ",01,"CÉMACO",2023,"Censos de Población y Vivienda Década 2020",481,"personas"
10,"COMARCA KUNA YALA",01,"COMARCA KUNA YALA",2023,"Censos de Población y Vivienda Década 2020",1795,"personas"
09,"VERAGUAS",12,"MARIATO",2023,"Censos de Población y Vivienda Década 2020",682,"personas"
09,"VERAGUAS",11,"SONÁ",2023,"Censos de Población y Vivienda Década 2020",4549,"personas"
09,"VERAGUAS",10,"SANTIAGO",2023,"Censos de Población y Vivienda Década 2020",49236,"personas"
09,"VERAGUAS",09,"SANTA FE",2023,"Censos de Población y Vivienda Década 2020",971,"personas"
09,"VERAGUAS",08,"SAN FRANCISCO",2023,"Censos de Población y Vivienda Década 2020",1653,"personas"
09,"VERAGUAS",07,"RÍO DE JESÚS",2023,"Censos de Población y Vivienda Década 2020",896,"personas"
09,"VERAGUAS",06,"MONTIJO",2023,"Censos de Población y Vivienda Década 2020",2052,"personas"
09,"VERAGUAS",05,"LAS PALMAS",2023,"Censos de Población y Vivienda Década 2020",1386,"personas"
09,"VERAGUAS",04,"LA MESA",2023,"Censos de Población y Vivienda Década 2020",1834,"personas"
09,"VERAGUAS",03,"CAÑAZAS",2023,"Censos de Población y Vivienda Década 2020",1175,"personas"
09,"VERAGUAS",02,"CALOBRE",2023,"Censos de Población y Vivienda Década 2020",907,"personas"
09,"VERAGUAS",01,"ATALAYA",2023,"Censos de Población y Vivienda Década 2020",6829,"personas"
08,"PANAMÁ",11,"TABOGA",2023,"Censos de Población y Vivienda Década 2020",214,"personas"
08,"PANAMÁ",10,"SAN MIGUELITO",2023,"Censos de Población y Vivienda Década 2020",126398,"personas"
08,"PANAMÁ",08,"PANAMÁ",2023,"Censos de Población y Vivienda Década 2020",510189,"personas"
08,"PANAMÁ",06,"CHIMÁN",2023,"Censos de Población y Vivienda Década 2020",112,"personas"
08,"PANAMÁ",05,"CHEPO",2023,"Censos de Población y Vivienda Década 2020",10416,"personas"
08,"PANAMÁ",02,"BALBOA",2023,"Censos de Población y Vivienda Década 2020",70,"personas"
07,"LOS SANTOS",07,"TONOSÍ",2023,"Censos de Población y Vivienda Década 2020",1320,"personas"
07,"LOS SANTOS",06,"POCRÍ",2023,"Censos de Población y Vivienda Década 2020",582,"personas"
07,"LOS SANTOS",05,"PEDASÍ",2023,"Censos de Población y Vivienda Década 2020",1266,"personas"
07,"LOS SANTOS",04,"MACARACAS",2023,"Censos de Población y Vivienda Década 2020",1760,"personas"
07,"LOS SANTOS",03,"LOS SANTOS",2023,"Censos de Población y Vivienda Década 2020",9837,"personas"
07,"LOS SANTOS",02,"LAS TABLAS",2023,"Censos de Población y Vivienda Década 2020",10162,"personas"
07,"LOS SANTOS",01,"GUARARÉ",2023,"Censos de Población y Vivienda Década 2020",3662,"personas"
06,"HERRERA",07,"SANTA MARÍA",2023,"Censos de Población y Vivienda Década 2020",2002,"personas"
06,"HERRERA",06,"PESÉ",2023,"Censos de Población y Vivienda Década 2020",2499,"personas"
06,"HERRERA",05,"PARITA",2023,"Censos de Población y Vivienda Década 2020",2324,"personas"
06,"HERRERA",04,"OCÚ",2023,"Censos de Población y Vivienda Década 2020",3728,"personas"
06,"HERRERA",03,"LOS POZOS",2023,"Censos de Población y Vivienda Década 2020",932,"personas"
06,"HERRERA",02,"LAS MINAS",2023,"Censos de Población y Vivienda Década 2020",812,"personas"
06,"HERRERA",01,"CHITRÉ",2023,"Censos de Población y Vivienda Década 2020",27773,"personas"
05,"DARIÉN",03,"SANTA FE",2023,"Censos de Población y Vivienda Década 2020",2322,"personas"
05,"DARIÉN",02,"PINOGANA",2023,"Censos de Población y Vivienda Década 2020",2727,"personas"
05,"DARIÉN",01,"CHEPIGANA",2023,"Censos de Población y Vivienda Década 2020",1232,"personas"
04,"CHIRIQUÍ",14,"TIERRAS ALTAS",2023,"Censos de Población y Vivienda Década 2020",6004,"personas"
04,"CHIRIQUÍ",13,"TOLÉ",2023,"Censos de Población y Vivienda Década 2020",1673,"personas"
04,"CHIRIQUÍ",12,"SAN LORENZO",2023,"Censos de Población y Vivienda Década 2020",1123,"personas"
04,"CHIRIQUÍ",11,"SAN FÉLIX",2023,"Censos de Población y Vivienda Década 2020",1696,"personas"
04,"CHIRIQUÍ",10,"RENACIMIENTO",2023,"Censos de Población y Vivienda Década 2020",2512,"personas"
04,"CHIRIQUÍ",09,"REMEDIOS",2023,"Censos de Población y Vivienda Década 2020",880,"personas"
04,"CHIRIQUÍ",08,"GUALACA",2023,"Censos de Población y Vivienda Década 2020",2069,"personas"
04,"CHIRIQUÍ",07,"DOLEGA",2023,"Censos de Población y Vivienda Década 2020",17741,"personas"
04,"CHIRIQUÍ",06,"DAVID",2023,"Censos de Población y Vivienda Década 2020",64617,"personas"
04,"CHIRIQUÍ",05,"BUGABA",2023,"Censos de Población y Vivienda Década 2020",18762,"personas"
04,"CHIRIQUÍ",04,"BOQUETE",2023,"Censos de Población y Vivienda Década 2020",8642,"personas"
04,"CHIRIQUÍ",03,"BOQUERÓN",2023,"Censos de Población y Vivienda Década 2020",6116,"personas"
04,"CHIRIQUÍ",02,"BARÚ",2023,"Censos de Población y Vivienda Década 2020",8785,"personas"
04,"CHIRIQUÍ",01,"ALANJE",2023,"Censos de Población y Vivienda Década 2020",2844,"personas"
03,"COLÓN",06,"OMAR TORRIJOS HERRERA",2023,"Censos de Población y Vivienda Década 2020",404,"personas"
03,"COLÓN",05,"SANTA ISABEL",2023,"Censos de Población y Vivienda Década 2020",375,"personas"
03,"COLÓN",04,"PORTOBELO",2023,"Censos de Población y Vivienda Década 2020",2008,"personas"
03,"COLÓN",03,"DONOSO",2023,"Censos de Población y Vivienda Década 2020",480,"personas"
03,"COLÓN",02,"CHAGRES",2023,"Censos de Población y Vivienda Década 2020",799,"personas"
03,"COLÓN",01,"COLÓN",2023,"Censos de Población y Vivienda Década 2020",76262,"personas"
02,"COCLÉ",06,"PENONOMÉ",2023,"Censos de Población y Vivienda Década 2020",24954,"personas"
02,"COCLÉ",05,"OLÁ",2023,"Censos de Población y Vivienda Década 2020",800,"personas"
02,"COCLÉ",04,"NATÁ",2023,"Censos de Población y Vivienda Década 2020",3762,"personas"
02,"COCLÉ",03,"LA PINTADA",2023,"Censos de Población y Vivienda Década 2020",2967,"personas"
02,"COCLÉ",02,"ANTÓN",2023,"Censos de Población y Vivienda Década 2020",11509,"personas"
02,"COCLÉ",01,"AGUADULCE",2023,"Censos de Población y Vivienda Década 2020",16684,"personas"
01,"BOCAS DEL TORO",04,"ALMIRANTE",2023,"Censos de Población y Vivienda Década 2020",3029,"personas"
01,"BOCAS DEL TORO",03,"CHIRIQUÍ GRANDE",2023,"Censos de Población y Vivienda Década 2020",1500,"personas"
01,"BOCAS DEL TORO",02,"CHANGUINOLA",2023,"Censos de Población y Vivienda Década 2020",19325,"personas"
TOTAL,"TOTAL NACIONAL",2023,"Censos de Población y Vivienda Década 2020",1372111,"personas"
