ID Provincia,Nombre Provincia,ID Distrito,Nombre Distrito,Año de Referencia,Fuente,Valor,Unidad de Medida
03,"COLÓN",06,"OMAR TORRIJOS HERRERA",2023,"Censos de Población y Vivienda Década 2020",3561,"personas"
01,"BOCAS DEL TORO",01,"BOCAS DEL TORO",2023,"Censos de Población y Vivienda Década 2020",17274,"personas"
09,"VERAGUAS",01,"ATALAYA",2023,"Censos de Población y Vivienda Década 2020",17507,"personas"
09,"VERAGUAS",02,"CALOBRE",2023,"Censos de Población y Vivienda Década 2020",11666,"personas"
09,"VERAGUAS",03,"CAÑAZAS",2023,"Censos de Población y Vivienda Década 2020",16933,"personas"
09,"VERAGUAS",04,"LA MESA",2023,"Censos de Población y Vivienda Década 2020",12238,"personas"
09,"VERAGUAS",05,"LAS PALMAS",2023,"Censos de Población y Vivienda Década 2020",18071,"personas"
09,"VERAGUAS",07,"RÍO DE JESÚS",2023,"Censos de Población y Vivienda Década 2020",4822,"personas"
09,"VERAGUAS",10,"SANTIAGO",2023,"Censos de Población y Vivienda Década 2020",109605,"personas"
09,"VERAGUAS",11,"SONÁ",2023,"Censos de Población y Vivienda Década 2020",28244,"personas"
09,"VERAGUAS",12,"MARIATO",2023,"Censos de Población y Vivienda Década 2020",5791,"personas"
10,"COMARCA KUNA YALA",01,"COMARCA KUNA YALA",2023,"Censos de Población y Vivienda Década 2020",32016,"personas"
11,"COMARCA EMBERÁ",01,"CÉMACO",2023,"Censos de Población y Vivienda Década 2020",9547,"personas"
12,"COMARCA NGÄBE BUGLÉ",01,"BESIKO",2023,"Censos de Población y Vivienda Década 2020",31422,"personas"
12,"COMARCA NGÄBE BUGLÉ",02,"MIRONÓ",2023,"Censos de Población y Vivienda Década 2020",21800,"personas"
12,"COMARCA NGÄBE BUGLÉ",03,"MÜNA",2023,"Censos de Población y Vivienda Década 2020",47200,"personas"
12,"COMARCA NGÄBE BUGLÉ",04,"NOLE DUIMA",2023,"Censos de Población y Vivienda Década 2020",20709,"personas"
12,"COMARCA NGÄBE BUGLÉ",05,"ÑÜRÜM",2023,"Censos de Población y Vivienda Década 2020",17637,"personas"
12,"COMARCA NGÄBE BUGLÉ",06,"KANKINTÚ",2023,"Censos de Población y Vivienda Década 2020",19751,"personas"
07,"LOS SANTOS",04,"MACARACAS",2023,"Censos de Población y Vivienda Década 2020",8965,"personas"
13,"PANAMÁ OESTE",01,"ARRAIJÁN",2023,"Censos de Población y Vivienda Década 2020",299079,"personas"
12,"COMARCA NGÄBE BUGLÉ",08,"JIRONDAI",2023,"Censos de Población y Vivienda Década 2020",25804,"personas"
12,"COMARCA NGÄBE BUGLÉ",09,"SANTA CATALINA O CALOVÉBORA (BLEDESHIA)",2023,"Censos de Población y Vivienda Década 2020",10714,"personas"
13,"PANAMÁ OESTE",07,"LA CHORRERA",2023,"Censos de Población y Vivienda Década 2020",258221,"personas"
13,"PANAMÁ OESTE",09,"SAN CARLOS",2023,"Censos de Población y Vivienda Década 2020",22201,"personas"
03,"COLÓN",01,"COLÓN",2023,"Censos de Población y Vivienda Década 2020",240722,"personas"
03,"COLÓN",02,"CHAGRES",2023,"Censos de Población y Vivienda Década 2020",10968,"personas"
03,"COLÓN",04,"PORTOBELO",2023,"Censos de Población y Vivienda Década 2020",10320,"personas"
04,"CHIRIQUÍ",01,"ALANJE",2023,"Censos de Población y Vivienda Década 2020",18877,"personas"
04,"CHIRIQUÍ",03,"BOQUERÓN",2023,"Censos de Población y Vivienda Década 2020",21001,"personas"
04,"CHIRIQUÍ",08,"GUALACA",2023,"Censos de Población y Vivienda Década 2020",9831,"personas"
05,"DARIÉN",01,"CHEPIGANA",2023,"Censos de Población y Vivienda Década 2020",12983,"personas"
04,"CHIRIQUÍ",09,"REMEDIOS",2023,"Censos de Población y Vivienda Década 2020",4388,"personas"
04,"CHIRIQUÍ",13,"TOLÉ",2023,"Censos de Población y Vivienda Década 2020",13193,"personas"
