ID Provincia,Nombre Provincia,Año de Referencia,Fuente,Valor,Unidad de Medida
01,"BOCAS DEL TORO",2023,"Censos de Población y Vivienda Década 2020",55.70,"% de las viviendas"
02,"COCLÉ",2023,"Censos de Población y Vivienda Década 2020",74.87,"% de las viviendas"
03,"COLÓN",2023,"Censos de Población y Vivienda Década 2020",64.34,"% de las viviendas"
04,"CHIRIQUÍ",2023,"Censos de Población y Vivienda Década 2020",79.55,"% de las viviendas"
05,"DARIÉN",2023,"Censos de Población y Vivienda Década 2020",72.51,"% de las viviendas"
06,"HERRERA",2023,"Censos de Población y Vivienda Década 2020",76.03,"% de las viviendas"
07,"LOS SANTOS",2023,"Censos de Población y Vivienda Década 2020",86.23,"% de las viviendas"
08,"PANAMÁ",2023,"Censos de Población y Vivienda Década 2020",87.02,"% de las viviendas"
09,"VERAGUAS",2023,"Censos de Población y Vivienda Década 2020",80.93,"% de las viviendas"
10,"COMARCA KUNA YALA",2023,"Censos de Población y Vivienda Década 2020",48.93,"% de las viviendas"
11,"COMARCA EMBERÁ",2023,"Censos de Población y Vivienda Década 2020",65.95,"% de las viviendas"
12,"COMARCA NGÄBE BUGLÉ",2023,"Censos de Población y Vivienda Década 2020",87.58,"% de las viviendas"
13,"PANAMÁ OESTE",2023,"Censos de Población y Vivienda Década 2020",73.48,"% de las viviendas"
,"Sin nombre",2023,"Censos de Población y Vivienda Década 2020",79.65,"% de las viviendas"
