ID Provincia,Nombre Provincia,Año de Referencia,Fuente,Valor,Unidad de Medida
01,"BOCAS DEL TORO",2023,"Censos de Población y Vivienda Década 2020",13785,"viviendas"
02,"COCLÉ",2023,"Censos de Población y Vivienda Década 2020",54954,"viviendas"
03,"COLÓN",2023,"Censos de Población y Vivienda Década 2020",48206,"viviendas"
04,"CHIRIQUÍ",2023,"Censos de Población y Vivienda Década 2020",102693,"viviendas"
05,"DARIÉN",2023,"Censos de Población y Vivienda Década 2020",8289,"viviendas"
06,"HERRERA",2023,"Censos de Población y Vivienda Década 2020",31085,"viviendas"
07,"LOS SANTOS",2023,"Censos de Población y Vivienda Década 2020",30925,"viviendas"
08,"PANAMÁ",2023,"Censos de Población y Vivienda Década 2020",377396,"viviendas"
09,"VERAGUAS",2023,"Censos de Población y Vivienda Década 2020",57674,"viviendas"
10,"COMARCA KUNA YALA",2023,"Censos de Población y Vivienda Década 2020",1926,"viviendas"
11,"COMARCA EMBERÁ",2023,"Censos de Población y Vivienda Década 2020",701,"viviendas"
12,"COMARCA NGÄBE BUGLÉ",2023,"Censos de Población y Vivienda Década 2020",13401,"viviendas"
13,"PANAMÁ OESTE",2023,"Censos de Población y Vivienda Década 2020",140270,"viviendas"
TOTAL,"TOTAL NACIONAL",2023,"Censos de Población y Vivienda Década 2020",881305,"viviendas"
