ID Provincia,Nombre Provincia,Año de Referencia,Fuente,Valor,Unidad de Medida
01,"BOCAS DEL TORO",2023,"Censos de Población y Vivienda Década 2020",51.15,"% de las viviendas"
02,"COCLÉ",2023,"Censos de Población y Vivienda Década 2020",65.02,"% de las viviendas"
03,"COLÓN",2023,"Censos de Población y Vivienda Década 2020",61.38,"% de las viviendas"
04,"CHIRIQUÍ",2023,"Censos de Población y Vivienda Década 2020",70.26,"% de las viviendas"
05,"DARIÉN",2023,"Censos de Población y Vivienda Década 2020",61.08,"% de las viviendas"
06,"HERRERA",2023,"Censos de Población y Vivienda Década 2020",67.82,"% de las viviendas"
07,"LOS SANTOS",2023,"Censos de Población y Vivienda Década 2020",74.62,"% de las viviendas"
08,"PANAMÁ",2023,"Censos de Población y Vivienda Década 2020",85.90,"% de las viviendas"
09,"VERAGUAS",2023,"Censos de Población y Vivienda Década 2020",69.20,"% de las viviendas"
10,"COMARCA KUNA YALA",2023,"Censos de Población y Vivienda Década 2020",68.42,"% de las viviendas"
11,"COMARCA EMBERÁ",2023,"Censos de Población y Vivienda Década 2020",63.22,"% de las viviendas"
12,"COMARCA NGÄBE BUGLÉ",2023,"Censos de Población y Vivienda Década 2020",54.81,"% de las viviendas"
13,"PANAMÁ OESTE",2023,"Censos de Población y Vivienda Década 2020",71.32,"% de las viviendas"
,"Sin nombre",2023,"Censos de Población y Vivienda Década 2020",74.86,"% de las viviendas"
