ID Provincia,Nombre Provincia,Año de Referencia,Fuente,Valor,Unidad de Medida
01,"BOCAS DEL TORO",2023,"Censos de Población y Vivienda Década 2020",12659,"viviendas"
02,"COCLÉ",2023,"Censos de Población y Vivienda Década 2020",47721,"viviendas"
03,"COLÓN",2023,"Censos de Población y Vivienda Década 2020",45986,"viviendas"
04,"CHIRIQUÍ",2023,"Censos de Población y Vivienda Década 2020",90691,"viviendas"
05,"DARIÉN",2023,"Censos de Población y Vivienda Década 2020",6982,"viviendas"
06,"HERRERA",2023,"Censos de Población y Vivienda Década 2020",27727,"viviendas"
07,"LOS SANTOS",2023,"Censos de Población y Vivienda Década 2020",26763,"viviendas"
08,"PANAMÁ",2023,"Censos de Población y Vivienda Década 2020",372528,"viviendas"
09,"VERAGUAS",2023,"Censos de Población y Vivienda Década 2020",49318,"viviendas"
10,"COMARCA KUNA YALA",2023,"Censos de Población y Vivienda Década 2020",2693,"viviendas"
11,"COMARCA EMBERÁ",2023,"Censos de Población y Vivienda Década 2020",672,"viviendas"
12,"COMARCA NGÄBE BUGLÉ",2023,"Censos de Población y Vivienda Década 2020",8387,"viviendas"
13,"PANAMÁ OESTE",2023,"Censos de Población y Vivienda Década 2020",136143,"viviendas"
TOTAL,"TOTAL NACIONAL",2023,"Censos de Población y Vivienda Década 2020",828270,"viviendas"
